frame.number,frame.time,frame.time_delta,frame.len,mac-lte.rnti,mac-lte.direction
125,Jun 17 2019 12:38:10.445114000 MST,0.040090000,886,70,1
126,Jun 17 2019 12:38:10.445119000 MST,0.000005000,548,70,0
127,Jun 17 2019 12:38:10.505055000 MST,0.059936000,548,70,0
128,Jun 17 2019 12:38:10.585115000 MST,0.080060000,548,70,0
129,Jun 17 2019 12:38:10.588050000 MST,0.002935000,256,70,1
130,Jun 17 2019 12:38:10.624026000 MST,0.035976000,284,70,1
131,Jun 17 2019 12:38:10.624994000 MST,0.000968000,340,70,1
132,Jun 17 2019 12:38:10.645087000 MST,0.020093000,548,70,0
133,Jun 17 2019 12:38:10.657956000 MST,0.012869000,88,70,1
134,Jun 17 2019 12:38:10.659005000 MST,0.001049000,248,70,1
135,Jun 17 2019 12:38:10.685183000 MST,0.026178000,548,70,0
136,Jun 17 2019 12:38:10.694061000 MST,0.008878000,548,70,0
137,Jun 17 2019 12:38:10.698057000 MST,0.003996000,148,70,1
138,Jun 17 2019 12:38:10.703174000 MST,0.005117000,790,70,0
139,Jun 17 2019 12:38:10.715931000 MST,0.012757000,72,70,1
140,Jun 17 2019 12:38:10.725059000 MST,0.009128000,548,70,0
141,Jun 17 2019 12:38:10.726060000 MST,0.001001000,88,70,1
142,Jun 17 2019 12:38:10.731944000 MST,0.005884000,388,70,1
143,Jun 17 2019 12:38:10.734141000 MST,0.002197000,128,70,0
144,Jun 17 2019 12:38:10.737977000 MST,0.003836000,284,70,1
145,Jun 17 2019 12:38:10.742044000 MST,0.004067000,2784,70,1
146,Jun 17 2019 12:38:10.743970000 MST,0.001926000,1078,70,1
147,Jun 17 2019 12:38:10.746980000 MST,0.003010000,72,70,1
148,Jun 17 2019 12:38:10.748090000 MST,0.001110000,232,70,1
149,Jun 17 2019 12:38:10.765004000 MST,0.016914000,548,70,0
150,Jun 17 2019 12:38:10.767070000 MST,0.002066000,88,70,1
151,Jun 17 2019 12:38:10.774082000 MST,0.007012000,982,70,0
152,Jun 17 2019 12:38:10.805086000 MST,0.031004000,548,70,0
153,Jun 17 2019 12:38:10.814256000 MST,0.009170000,1707,70,0
154,Jun 17 2019 12:38:10.815103000 MST,0.000847000,1707,70,0
155,Jun 17 2019 12:38:10.815107000 MST,0.000004000,72,70,1
156,Jun 17 2019 12:38:10.816233000 MST,0.001126000,232,70,1
157,Jun 17 2019 12:38:10.816238000 MST,0.000005000,1707,70,0
158,Jun 17 2019 12:38:10.817123000 MST,0.000885000,1446,70,0
159,Jun 17 2019 12:38:10.823099000 MST,0.005976000,1707,70,0
160,Jun 17 2019 12:38:10.824201000 MST,0.001102000,1707,70,0
161,Jun 17 2019 12:38:10.825227000 MST,0.001026000,1707,70,0
162,Jun 17 2019 12:38:10.825998000 MST,0.000771000,72,70,1
163,Jun 17 2019 12:38:10.827030000 MST,0.001032000,128,70,1
