frame.number,frame.time,frame.time_delta,frame.len,mac-lte.rnti,mac-lte.direction,Application
160,Jul 26 2019 19:16:34.271684000 MST,0.019063,548,70.0,0.0,amazon
161,Jul 26 2019 19:16:34.287582000 MST,0.015898,3557,70.0,1.0,amazon
162,Jul 26 2019 19:16:34.288639000 MST,0.001057,1542,70.0,1.0,amazon
163,Jul 26 2019 19:16:34.291554000 MST,0.002915,548,70.0,0.0,amazon
164,Jul 26 2019 19:16:34.293610000 MST,0.002056,72,70.0,1.0,amazon
165,Jul 26 2019 19:16:34.299677000 MST,0.006067,72,70.0,1.0,amazon
166,Jul 26 2019 19:16:34.300734000 MST,0.001057,1707,70.0,0.0,amazon
167,Jul 26 2019 19:16:34.300749000 MST,1.5e-05,340,70.0,1.0,amazon
168,Jul 26 2019 19:16:34.301755000 MST,0.001006,1707,70.0,0.0,amazon
169,Jul 26 2019 19:16:34.302535000 MST,0.00078,660,70.0,0.0,amazon
170,Jul 26 2019 19:16:34.309747000 MST,0.007212,1707,70.0,0.0,amazon
171,Jul 26 2019 19:16:34.310791000 MST,0.001044,1707,70.0,0.0,amazon
172,Jul 26 2019 19:16:34.310814000 MST,2.3e-05,72,70.0,1.0,amazon
173,Jul 26 2019 19:16:34.311537000 MST,0.000723,64,70.0,1.0,amazon
174,Jul 26 2019 19:16:34.320625000 MST,0.009088,484,70.0,1.0,amazon
175,Jul 26 2019 19:16:34.321645000 MST,0.00102,1014,70.0,1.0,amazon
176,Jul 26 2019 19:16:34.331658000 MST,0.010013,548,70.0,0.0,amazon
177,Jul 26 2019 19:16:34.339567000 MST,0.007909,72,70.0,1.0,amazon
178,Jul 26 2019 19:16:34.351703000 MST,0.012136,548,70.0,0.0,amazon
179,Jul 26 2019 19:16:34.360559000 MST,0.008856,300,70.0,0.0,amazon
180,Jul 26 2019 19:16:34.365665000 MST,0.005106,1851,70.0,1.0,amazon
181,Jul 26 2019 19:16:34.369628000 MST,0.003963,588,70.0,0.0,amazon
182,Jul 26 2019 19:16:34.374514000 MST,0.004886,64,70.0,1.0,amazon
183,Jul 26 2019 19:16:34.379500000 MST,0.004986,1302,70.0,1.0,amazon
184,Jul 26 2019 19:16:34.380550000 MST,0.00105,3837,70.0,1.0,amazon
185,Jul 26 2019 19:16:34.391626000 MST,0.011076,548,70.0,0.0,amazon
186,Jul 26 2019 19:16:34.406627000 MST,0.015001,1302,70.0,1.0,amazon
187,Jul 26 2019 19:16:34.411677000 MST,0.00505,548,70.0,0.0,amazon
188,Jul 26 2019 19:16:34.431712000 MST,0.020035,548,70.0,0.0,amazon
189,Jul 26 2019 19:16:34.432552000 MST,0.00084,420,70.0,1.0,amazon
190,Jul 26 2019 19:16:34.439627000 MST,0.007075,886,70.0,1.0,amazon
191,Jul 26 2019 19:16:34.451573000 MST,0.011946,548,70.0,0.0,amazon
192,Jul 26 2019 19:16:34.456491000 MST,0.004918,64,70.0,1.0,amazon
193,Jul 26 2019 19:16:34.458609000 MST,0.002118,120,70.0,1.0,amazon
194,Jul 26 2019 19:16:34.460629000 MST,0.00202,268,70.0,0.0,amazon
195,Jul 26 2019 19:16:34.478484000 MST,0.017855,160,70.0,1.0,amazon
196,Jul 26 2019 19:16:34.491704000 MST,0.01322,548,70.0,0.0,amazon
197,Jul 26 2019 19:16:34.500697000 MST,0.008993,1707,70.0,0.0,amazon
198,Jul 26 2019 19:16:34.501639000 MST,0.000942,886,70.0,0.0,amazon
199,Jul 26 2019 19:16:34.509712000 MST,0.008073,1707,70.0,0.0,amazon
200,Jul 26 2019 19:16:34.511535000 MST,0.001823,548,70.0,0.0,amazon
201,Jul 26 2019 19:16:34.518650000 MST,0.007115,500,70.0,0.0,amazon
202,Jul 26 2019 19:16:34.520617000 MST,0.001967,790,70.0,0.0,amazon
203,Jul 26 2019 19:16:34.531562000 MST,0.010945,420,70.0,1.0,amazon
