frame.number,frame.time,frame.time_delta,frame.cumulative,frame.len,mac-lte.rnti,mac-lte.direction,Application
184,Jul 26 2019 19:24:42.483226000 MST,0.001047,2.295133,420,70,0,amazon
185,Jul 26 2019 19:24:42.484132000 MST,0.000906,2.296039,708,70,0,amazon
186,Jul 26 2019 19:24:42.485233000 MST,0.001101,2.29714,708,70,0,amazon
187,Jul 26 2019 19:24:42.486272000 MST,0.001039,2.298179,708,70,0,amazon
188,Jul 26 2019 19:24:42.487141000 MST,0.000869,2.299048,708,70,0,amazon
189,Jul 26 2019 19:24:42.488206000 MST,0.001065,2.300113,708,70,0,amazon
190,Jul 26 2019 19:24:42.488235000 MST,2.90E-05,2.300142,886,70,1,amazon
191,Jul 26 2019 19:24:42.489274000 MST,0.001039,2.301181,708,70,0,amazon
192,Jul 26 2019 19:24:42.490201000 MST,0.000927,2.302108,708,70,0,amazon
193,Jul 26 2019 19:24:42.491221000 MST,0.00102,2.303128,708,70,0,amazon
194,Jul 26 2019 19:24:42.492297000 MST,0.001076,2.304204,708,70,0,amazon
195,Jul 26 2019 19:24:42.493173000 MST,0.000876,2.30508,708,70,0,amazon
196,Jul 26 2019 19:24:42.494247000 MST,0.001074,2.306154,708,70,0,amazon
197,Jul 26 2019 19:24:42.495118000 MST,0.000871,2.307025,636,70,0,amazon
198,Jul 26 2019 19:24:42.496196000 MST,0.001078,2.308103,708,70,0,amazon
199,Jul 26 2019 19:24:42.497253000 MST,0.001057,2.30916,708,70,0,amazon
200,Jul 26 2019 19:24:42.498153000 MST,0.0009,2.31006,708,70,0,amazon
201,Jul 26 2019 19:24:42.499210000 MST,0.001057,2.311117,708,70,0,amazon
202,Jul 26 2019 19:24:42.500278000 MST,0.001068,2.312185,708,70,0,amazon
203,Jul 26 2019 19:24:42.501157000 MST,0.000879,2.313064,708,70,0,amazon
204,Jul 26 2019 19:24:42.502237000 MST,0.00108,2.314144,708,70,0,amazon
205,Jul 26 2019 19:24:42.503276000 MST,0.001039,2.315183,420,70,0,amazon
206,Jul 26 2019 19:24:42.504170000 MST,0.000894,2.316077,708,70,0,amazon
207,Jul 26 2019 19:24:42.505285000 MST,0.001115,2.317192,708,70,0,amazon
208,Jul 26 2019 19:24:42.506132000 MST,0.000847,2.318039,708,70,0,amazon
209,Jul 26 2019 19:24:42.507189000 MST,0.001057,2.319096,708,70,0,amazon
210,Jul 26 2019 19:24:42.508272000 MST,0.001083,2.320179,708,70,0,amazon
211,Jul 26 2019 19:24:42.509136000 MST,0.000864,2.321043,708,70,0,amazon
212,Jul 26 2019 19:24:42.510221000 MST,0.001085,2.322128,708,70,0,amazon
213,Jul 26 2019 19:24:42.511264000 MST,0.001043,2.323171,708,70,0,amazon
214,Jul 26 2019 19:24:42.514289000 MST,0.003025,2.326196,404,70,0,amazon
215,Jul 26 2019 19:24:42.515162000 MST,0.000873,2.327069,636,70,0,amazon
216,Jul 26 2019 19:24:42.516286000 MST,0.001124,2.328193,708,70,0,amazon
217,Jul 26 2019 19:24:42.517151000 MST,0.000865,2.329058,708,70,0,amazon
218,Jul 26 2019 19:24:42.540133000 MST,0.022982,2.35204,64,70,1,amazon
219,Jul 26 2019 19:24:42.543108000 MST,0.002975,2.355015,64,70,1,amazon
220,Jul 26 2019 19:24:42.544219000 MST,0.001111,2.356126,64,70,1,amazon
221,Jul 26 2019 19:24:42.545081000 MST,0.000862,2.356988,120,70,1,amazon
222,Jul 26 2019 19:24:42.548149000 MST,0.003068,2.360056,64,70,1,amazon
223,Jul 26 2019 19:24:42.552224000 MST,0.004075,2.364131,64,70,1,amazon
224,Jul 26 2019 19:24:42.557105000 MST,0.004881,2.369012,64,70,1,amazon
225,Jul 26 2019 19:24:42.560187000 MST,0.003082,2.372094,64,70,1,amazon
226,Jul 26 2019 19:24:42.563257000 MST,0.00307,2.375164,564,70,0,amazon
227,Jul 26 2019 19:24:42.564106000 MST,0.000849,2.376013,64,70,1,amazon
228,Jul 26 2019 19:24:42.567060000 MST,0.002954,2.378967,64,70,1,amazon
229,Jul 26 2019 19:24:42.571118000 MST,0.004058,2.383025,64,70,1,amazon
230,Jul 26 2019 19:24:42.572186000 MST,0.001068,2.384093,708,70,0,amazon
231,Jul 26 2019 19:24:42.573192000 MST,0.001006,2.385099,708,70,0,amazon
232,Jul 26 2019 19:24:42.574348000 MST,0.001156,2.386255,708,70,0,amazon
233,Jul 26 2019 19:24:42.574375000 MST,2.70E-05,2.386282,64,70,1,amazon
234,Jul 26 2019 19:24:42.575208000 MST,0.000833,2.387115,636,70,0,amazon
235,Jul 26 2019 19:24:42.576259000 MST,0.001051,2.388166,708,70,0,amazon
236,Jul 26 2019 19:24:42.577272000 MST,0.001013,2.389179,708,70,0,amazon
237,Jul 26 2019 19:24:42.578154000 MST,0.000882,2.390061,636,70,0,amazon
238,Jul 26 2019 19:24:42.581200000 MST,0.003046,2.393107,708,70,0,amazon
239,Jul 26 2019 19:24:42.582281000 MST,0.001081,2.394188,708,70,0,amazon
240,Jul 26 2019 19:24:42.583127000 MST,0.000846,2.395034,420,70,0,amazon
241,Jul 26 2019 19:24:42.584203000 MST,0.001076,2.39611,708,70,0,amazon
242,Jul 26 2019 19:24:42.585264000 MST,0.001061,2.397171,708,70,0,amazon
243,Jul 26 2019 19:24:42.586155000 MST,0.000891,2.398062,708,70,0,amazon
244,Jul 26 2019 19:24:42.587184000 MST,0.001029,2.399091,708,70,0,amazon
245,Jul 26 2019 19:24:42.588256000 MST,0.001072,2.400163,708,70,0,amazon
246,Jul 26 2019 19:24:42.589160000 MST,0.000904,2.401067,708,70,0,amazon
247,Jul 26 2019 19:24:42.590231000 MST,0.001071,2.402138,708,70,0,amazon
248,Jul 26 2019 19:24:42.591316000 MST,0.001085,2.403223,708,70,0,amazon
249,Jul 26 2019 19:24:42.592172000 MST,0.000856,2.404079,708,70,0,amazon
250,Jul 26 2019 19:24:42.593247000 MST,0.001075,2.405154,708,70,0,amazon
251,Jul 26 2019 19:24:42.594141000 MST,0.000894,2.406048,708,70,0,amazon
252,Jul 26 2019 19:24:42.595230000 MST,0.001089,2.407137,636,70,0,amazon
253,Jul 26 2019 19:24:42.596261000 MST,0.001031,2.408168,708,70,0,amazon
254,Jul 26 2019 19:24:42.597148000 MST,0.000887,2.409055,708,70,0,amazon
255,Jul 26 2019 19:24:42.598212000 MST,0.001064,2.410119,708,70,0,amazon
256,Jul 26 2019 19:24:42.599278000 MST,0.001066,2.411185,708,70,0,amazon
257,Jul 26 2019 19:24:42.600160000 MST,0.000882,2.412067,708,70,0,amazon
258,Jul 26 2019 19:24:42.601237000 MST,0.001077,2.413144,708,70,0,amazon
259,Jul 26 2019 19:24:42.602329000 MST,0.001092,2.414236,708,70,0,amazon
260,Jul 26 2019 19:24:42.603246000 MST,0.000917,2.415153,420,70,0,amazon
261,Jul 26 2019 19:24:42.604262000 MST,0.001016,2.416169,708,70,0,amazon
262,Jul 26 2019 19:24:42.605193000 MST,0.000931,2.4171,708,70,0,amazon
263,Jul 26 2019 19:24:42.606235000 MST,0.001042,2.418142,708,70,0,amazon
264,Jul 26 2019 19:24:42.607267000 MST,0.001032,2.419174,708,70,0,amazon
265,Jul 26 2019 19:24:42.608144000 MST,0.000877,2.420051,708,70,0,amazon
266,Jul 26 2019 19:24:42.609196000 MST,0.001052,2.421103,708,70,0,amazon
267,Jul 26 2019 19:24:42.610256000 MST,0.00106,2.422163,708,70,0,amazon
268,Jul 26 2019 19:24:42.611157000 MST,0.000901,2.423064,708,70,0,amazon
269,Jul 26 2019 19:24:42.612231000 MST,0.001074,2.424138,708,70,0,amazon
270,Jul 26 2019 19:24:42.613294000 MST,0.001063,2.425201,708,70,0,amazon
271,Jul 26 2019 19:24:42.614173000 MST,0.000879,2.42608,708,70,0,amazon
272,Jul 26 2019 19:24:42.615295000 MST,0.001122,2.427202,636,70,0,amazon
273,Jul 26 2019 19:24:42.616125000 MST,0.00083,2.428032,708,70,0,amazon
274,Jul 26 2019 19:24:42.617200000 MST,0.001075,2.429107,708,70,0,amazon
275,Jul 26 2019 19:24:42.618266000 MST,0.001066,2.430173,708,70,0,amazon
276,Jul 26 2019 19:24:42.619226000 MST,0.00096,2.431133,708,70,0,amazon
277,Jul 26 2019 19:24:42.620217000 MST,0.000991,2.432124,708,70,0,amazon
278,Jul 26 2019 19:24:42.621283000 MST,0.001066,2.43319,708,70,0,amazon
279,Jul 26 2019 19:24:42.622160000 MST,0.000877,2.434067,708,70,0,amazon
280,Jul 26 2019 19:24:42.623228000 MST,0.001068,2.435135,420,70,0,amazon
281,Jul 26 2019 19:24:42.624295000 MST,0.001067,2.436202,708,70,0,amazon
282,Jul 26 2019 19:24:42.625225000 MST,0.00093,2.437132,708,70,0,amazon
283,Jul 26 2019 19:24:42.626288000 MST,0.001063,2.438195,708,70,0,amazon
284,Jul 26 2019 19:24:42.627146000 MST,0.000858,2.439053,708,70,0,amazon
285,Jul 26 2019 19:24:42.628205000 MST,0.001059,2.440112,708,70,0,amazon
286,Jul 26 2019 19:24:42.629265000 MST,0.00106,2.441172,708,70,0,amazon
287,Jul 26 2019 19:24:42.630153000 MST,0.000888,2.44206,708,70,0,amazon
288,Jul 26 2019 19:24:42.631240000 MST,0.001087,2.443147,708,70,0,amazon
289,Jul 26 2019 19:24:42.632300000 MST,0.00106,2.444207,708,70,0,amazon
290,Jul 26 2019 19:24:42.633176000 MST,0.000876,2.445083,708,70,0,amazon
291,Jul 26 2019 19:24:42.634250000 MST,0.001074,2.446157,708,70,0,amazon
292,Jul 26 2019 19:24:42.635347000 MST,0.001097,2.447254,636,70,0,amazon
293,Jul 26 2019 19:24:42.636177000 MST,0.00083,2.448084,708,70,0,amazon
294,Jul 26 2019 19:24:42.637270000 MST,0.001093,2.449177,708,70,0,amazon
295,Jul 26 2019 19:24:42.638132000 MST,0.000862,2.450039,708,70,0,amazon
296,Jul 26 2019 19:24:42.639298000 MST,0.001166,2.451205,708,70,0,amazon
297,Jul 26 2019 19:24:42.639322000 MST,2.40E-05,2.451229,72,70,1,amazon
298,Jul 26 2019 19:24:42.640249000 MST,0.000927,2.452156,708,70,0,amazon
299,Jul 26 2019 19:24:42.640275000 MST,2.60E-05,2.452182,64,70,1,amazon
300,Jul 26 2019 19:24:42.641146000 MST,0.000871,2.453053,708,70,0,amazon
301,Jul 26 2019 19:24:42.642216000 MST,0.00107,2.454123,708,70,0,amazon
302,Jul 26 2019 19:24:42.643361000 MST,0.001145,2.455268,420,70,0,amazon
303,Jul 26 2019 19:24:42.643373000 MST,1.20E-05,2.45528,72,70,1,amazon
